"zone","acres","sqft","yearbuilt","bedrooms","bathrooms","halfbaths","multibuilding","style","saledate1","saleprice1","saledate2","saleprice2","saledate3","saleprice3","saledate4","saleprice4","saledate5","saleprice5"
"AIRPORT",0,12236,1930,0,0,0,FALSE,"Other Municip","1995",85000,NA,NA,NA,NA,NA,NA,NA,NA
"BA",0.44,2784,1976,0,0,0,FALSE,"Retail&lt;10th sf","2001",370000,"1986",180000,NA,NA,NA,NA,NA,NA
"BA",0.19,0,NA,0,0,0,FALSE,"Vacant Land","1998",36000,NA,NA,NA,NA,NA,NA,NA,NA
"BA",0.1,1456,1927,3,1,0,FALSE,"Colonial","2003",75000,"1999",0,NA,NA,NA,NA,NA,NA
"BA",0.07,1287,1935,2,1,1,FALSE,"Mix Use Res Tp","2014",220000,"2014",0,"1973",0,NA,NA,NA,NA
"BA",0.12,2502,1930,0,0,0,FALSE,"Mix Ret Apt","2000",0,"1987",110000,NA,NA,NA,NA,NA,NA
"BA",0.02,0,NA,0,0,0,FALSE,"Vacant Land","2000",0,"1999",22000,"1987",12000,NA,NA,NA,NA
"BA",0.05,1240,1920,0,0,0,FALSE,"Retail&lt;10th sf","1987",45000,NA,NA,NA,NA,NA,NA,NA,NA
"BA",0.11,352,1910,3,1,1,TRUE,"Office","2007",0,"1995",60000,"1986",0,NA,NA,NA,NA
"BA",0.33,1647,1900,0,0,0,FALSE,"Gas Mart","2006",875000,"1998",247134,"1979",0,NA,NA,NA,NA
"BA",0.21,0,NA,0,0,0,FALSE,"Outbuildings","2010",2e+05,"1986",110000,NA,NA,NA,NA,NA,NA
"BA",0.23,6097,1900,0,0,0,FALSE,"Theaters Encl.","2010",2e+05,"1985",150000,NA,NA,NA,NA,NA,NA
"BA",0.34,1688,1935,4,3,0,TRUE,"Retail&lt;10th sf","2001",0,"2000",125000,NA,NA,NA,NA,NA,NA
"BA",0.5,0,NA,0,0,0,FALSE,"Vacant Land","2002",0,"1997",598500,"1995",2e+05,NA,NA,NA,NA
"BA",0.16,0,NA,0,0,0,FALSE,"Vacant Land","2001",0,"1997",60000,"1996",0,"1996",0,"1994",0
"BA",0.16,2926,1920,0,0,0,FALSE,"Mix Ret Apt","2013",0,"2012",225000,"2009",0,"1997",21000,"1993",0
"BA",0.1,560,1948,0,0,0,FALSE,"Retail&lt;10th sf","2013",0,"2008",110000,"1993",0,NA,NA,NA,NA
"BA",0.31,0,NA,0,0,0,FALSE,"Vacant Land","2004",176666,"2004",176666,"2004",176666,"2004",176666,"1971",0
"BA",0.18,0,NA,0,0,0,FALSE,"Vacant Land","2004",176666,"2004",176666,"2004",176666,"1971",0,NA,NA
"BA",0.16,5254,1900,0,0,0,FALSE,"Mix Ret Apt","2002",235000,"1987",185000,NA,NA,NA,NA,NA,NA
"BA",0.26,0,NA,0,0,0,FALSE,"Outbuildings","2007",50000,"2002",50000,"2002",0,"2001",0,"1983",0
"BA",0.52,896,2004,0,0,0,FALSE,"Gas Mart","1996",0,"1996",287572,NA,NA,NA,NA,NA,NA
"BA",0.4,0,NA,0,0,0,FALSE,"Vacant Land","2002",0,"1998",475000,"1998",425000,NA,NA,NA,NA
"BA",0.17,0,NA,0,0,0,FALSE,"Vacant Land","2004",6e+06,NA,0,NA,NA,NA,NA,NA,NA
"BA",1.25,0,NA,0,0,0,FALSE,"Vacant Land","2004",6e+06,NA,0,NA,NA,NA,NA,NA,NA
"BA",0.16,3474,1925,1,1,0,TRUE,"Mix Off Apt","2007",0,"2006",0,"2004",0,"2004",210000,"2002",0
"BA",0.17,0,NA,0,0,0,FALSE,"Outbuildings","2017",0,"2017",0,"2008",0,"2002",0,"1987",140000
"BA",0.05,1985,1935,0,0,0,FALSE,"Nightclub/Bar","2017",315000,"2006",0,"2002",0,"1994",0,NA,NA
"BA",0.07,0,NA,0,0,0,FALSE,"Vacant Land","2007",46000,"2006",35000,"2006",0,NA,0,NA,NA
"BA",0.01,0,NA,0,0,0,FALSE,"Vacant Land","2007",46000,"2006",35000,"2006",0,"1965",0,NA,NA
"BA",0.07,768,1920,2,1,0,FALSE,"Cape Cod","2015",36000,"2015",0,"2014",0,"2007",0,"2005",75000
"BA",0.08,1280,1900,3,1,1,FALSE,"Colonial","2014",0,"2003",82000,"1995",14000,"1995",0,"1994",0
"BA",0.07,1352,1900,3,1,0,FALSE,"Colonial","2017",0,"2011",0,"2011",79000,"2010",0,"2010",0
"BA",0.07,0,NA,0,0,0,FALSE,"Vacant Land","2005",756,"1991",0,NA,NA,NA,NA,NA,NA
"BA",0.09,1440,1890,3,1,0,FALSE,"Colonial","2004",25000,"2001",0,"1969",0,NA,NA,NA,NA
"BA",0.14,1065,1900,0,0,0,FALSE,"Off Conv Res","2002",470000,"1989",385000,NA,NA,NA,NA,NA,NA
"BA",0.12,856,1900,0,2,0,FALSE,"Retail&lt;10th sf","2002",470000,"1989",385000,NA,NA,NA,NA,NA,NA
"BA",0.34,3640,1940,0,0,0,TRUE,"Restaurant","2002",470000,"1989",385000,NA,NA,NA,NA,NA,NA
"BA",0.17,2785,1920,0,0,0,FALSE,"Office","2007",75000,"2000",0,"1996",25000,"1995",0,NA,NA
"BA",0.35,2598,1982,0,0,0,FALSE,"Bank","1999",0,"1998",0,"1987",480000,NA,NA,NA,NA
"BA",0.22,0,NA,0,0,0,FALSE,"Vacant Land","2007",75000,"2000",0,"1996",0,NA,NA,NA,NA
"BA",0.14,2224,1900,4,2,0,FALSE,"2 Family","1996",55000,"1995",0,NA,NA,NA,NA,NA,NA
"BA",0.3,1050,1930,2,1,0,FALSE,"Colonial","1986",109000,NA,NA,NA,NA,NA,NA,NA,NA
"BA",0.35,1549,1910,4,2,0,FALSE,"2 Family","1998",30000,"1997",0,"1994",35000,NA,NA,NA,NA
"BA",0.28,3196,1947,0,0,0,FALSE,"Retail&lt;10th sf","2007",250000,"1990",125000,NA,NA,NA,NA,NA,NA
"BA",0.15,2420,1900,4,2,0,FALSE,"Colonial","1976",29900,NA,NA,NA,NA,NA,NA,NA,NA
"BA",0.19,2555,1900,0,0,0,FALSE,"Mix Ret Apt","2013",130000,"2006",0,"2000",37000,NA,NA,NA,NA
"BA",0.19,0,NA,0,0,0,FALSE,"Vacant Land","2017",27000,"2002",0,"1999",15000,"1987",195000,NA,NA
"BA",0.13,1935,1927,3,1,0,FALSE,"Cape Cod","2016",86000,"2016",0,"2016",59299,"2016",0,"2010",17500
"BA",0.29,1548,1926,0,0,0,FALSE,"Service Garage","2016",136570,"2010",35000,"2006",175000,NA,0,NA,NA
"BA",0.23,0,NA,0,0,0,FALSE,"Outbuildings","2016",0,"2010",0,"2006",175000,"1965",0,NA,NA
